,Connection Size##pipe_size##inches,Material Number##other##,Operator Selector##length##inches,Connection Type##other##,Unit Weight Value##number##general,Valve Material##other##,Minimum Operating Temperature##hvac_temperature##Fahrenheit,Maximum Operating Temperature##hvac_temperature##Fahrenheit,Maximum Working Pressure##piping_pressure##pounds_force_per_square_inch,Cv Coefficient##other##,K Coefficient##other##,Body Length##Length##inches,Centerline to Handle Height##Length##inches,Center to End 1##Length##inches,Center to Handle End##Length##inches,Overall Length##Length##inches,Overall Height##Length##inches,Body Diameter##Length##inches,Handle Height##Length##inches,Nut Size Selector Length##length##inches,Operator Selector Length##length##inches,Operator Material##other##,Model##other##,Flow Configuration##other##,Standards##other##,Description##other##,Product Page URL##other##,URL##other##,Series##other##
1/2in_NL950A6,1/2,NL950A6,1,Female NPT Thread (FIPT),0.688,FamilyMEP - Neutral Gray,0,0,600,0,0,2.42,1.89,1.198,3.900,5.098,2.53,1.28,0.740,1,1,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
3/4in_NL950A8,3/4,NL950A8,1,Female NPT Thread (FIPT),1.328,FamilyMEP - Neutral Gray,0,0,600,0,0,2.95,2.26,1.47,4.660,6.13,3.11,1.70,0.780,2,2,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1in_NL950AA,1,NL950AA,1,Female NPT Thread (FIPT),1.793,FamilyMEP - Neutral Gray,0,0,600,0,0,3.33,2.41,1.664,4.660,6.324,3.455,2.09,0.780,2,2,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1 1/2in_NL950AC,1 1/2,NL950AC,1,Female NPT Thread (FIPT),4.775,FamilyMEP - Neutral Gray,0,0,600,0,0,4.70,3.34,2.348,6.690,9.038,4.815,2.95,0.914,3,3,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1/2in_NL950C6,1/2,NL950C6,7,Female NPT Thread (FIPT),0.961,FamilyMEP - Neutral Gray,0,0,600,0,0,2.42,4.15,1.198,3.50,0,4.79,1.28,3.0,0,2,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1/4in_NL950E4,1/4,NL950E4,2,Female NPT Thread (FIPT),0.653,FamilyMEP - Neutral Gray,0,0,600,0,0,1.99,2.61,0.992,3.74,4.732,3.165,1.11,1.58,0,7,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
3/8in_NL950E5,3/8,NL950E5,2,Female NPT Thread (FIPT),0.647,FamilyMEP - Neutral Gray,0,0,600,0,0,2.0,2.61,1.0,3.74,4.74,3.165,1.11,1.58,0,7,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1/2in_NL950E6,1/2,NL950E6,2,Female NPT Thread (FIPT),0.841,FamilyMEP - Neutral Gray,0,0,600,0,0,2.42,2.73,1.198,3.74,4.938,3.37,1.28,1.58,0,7,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
3/4in_NL950E8,3/4,NL950E8,2,Female NPT Thread (FIPT),1.513,FamilyMEP - Neutral Gray,0,0,600,0,0,2.95,3.07,1.47,3.73,5.2,3.92,1.70,1.59,0,10,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1in_NL950EA,1,NL950EA,2,Female NPT Thread (FIPT),1.975,FamilyMEP - Neutral Gray,0,0,600,0,0,3.33,3.22,1.664,3.73,5.394,4.265,2.09,1.59,0,10,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1 1/4in_NL9511B,1 1/4,NL9511B,1,Female NPT Thread (FIPT),3.114,FamilyMEP - Neutral Gray,0,0,600,0,0,4.18,3.25,2.09,6.690,8.78,4.48,2.46,0.914,3,3,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
